prompt_idx,template,clean_sentence,corrupted_sentence,clean_IO,clean_S,corrupted_IO,corrupted_S,clean_io_token_id,clean_s_token_id,corrupted_io_token_id,corrupted_s_token_id,end_position,place,object
0,ABBA,"Then, Matthew and Robert had a lot of fun at the school. Robert gave a ring to Matthew","Then, Robert and Matthew had a lot of fun at the school. Matthew gave a ring to Robert",Matthew,Robert,Robert,Matthew,23739,7866,7866,23739,19,school,ring
1,ABBA,"Then, Nicholas and Vanessa were working at the house. Vanessa decided to give a basketball to Nicholas","Then, Vanessa and Nicholas were working at the house. Nicholas decided to give a basketball to Vanessa",Nicholas,Vanessa,Vanessa,Nicholas,34218,68439,68439,34218,18,house,basketball
2,BABA,"Then, Thomas and Andrea were working at the restaurant. Thomas decided to give a drink to Andrea","Then, Andrea and Thomas were working at the restaurant. Andrea decided to give a drink to Thomas",Andrea,Thomas,Thomas,Andrea,32492,7536,7536,32492,18,restaurant,drink
3,ABBA,"Then, Thomas and Sarah had a long argument, and afterwards Sarah said to Thomas","Then, Sarah and Thomas had a long argument, and afterwards Thomas said to Sarah",Thomas,Sarah,Sarah,Thomas,7536,19400,19400,7536,15,office,kiss
4,ABBA,"After Amy and John went to the office, John gave a computer to Amy","After John and Amy went to the office, Amy gave a computer to John",Amy,John,John,Amy,27161,3350,3350,27161,14,office,computer
5,BABA,"Then, Christine and Jennifer had a lot of fun at the garden. Christine gave a drink to Jennifer","Then, Jennifer and Christine had a lot of fun at the garden. Jennifer gave a drink to Christine",Jennifer,Christine,Christine,Jennifer,30904,45698,45698,30904,19,garden,drink
6,ABBA,"After Paul and Christina went to the office, Christina gave a basketball to Paul","After Christina and Paul went to the office, Paul gave a basketball to Christina",Paul,Christina,Christina,Paul,6369,58025,58025,6369,14,office,basketball
7,BABA,"Then, Jennifer and Daniel went to the school. Jennifer gave a computer to Daniel","Then, Daniel and Jennifer went to the school. Daniel gave a computer to Jennifer",Daniel,Jennifer,Jennifer,Daniel,10754,30904,30904,10754,15,school,computer
8,ABBA,"After Elizabeth and John went to the hospital, John gave a snack to Elizabeth","After John and Elizabeth went to the hospital, Elizabeth gave a snack to John",Elizabeth,John,John,Elizabeth,15419,3350,3350,15419,14,hospital,snack
9,BABA,"Then, William and Kimberly had a long argument, and afterwards William said to Kimberly","Then, Kimberly and William had a long argument, and afterwards Kimberly said to William",Kimberly,William,William,Kimberly,102292,7130,7130,102292,15,office,basketball
10,BABA,"Then, Lindsay and Steven had a long argument, and afterwards Lindsay said to Steven","Then, Steven and Lindsay had a long argument, and afterwards Steven said to Lindsay",Steven,Lindsay,Lindsay,Steven,23114,61987,61987,23114,15,garden,bone
11,ABBA,"Then, Christine and Megan were working at the station. Megan decided to give a drink to Christine","Then, Megan and Christine were working at the station. Christine decided to give a drink to Megan",Christine,Megan,Megan,Christine,45698,58914,58914,45698,18,station,drink
12,ABBA,"When Kenneth and Katie got a necklace at the school, Katie decided to give it to Kenneth","When Katie and Kenneth got a necklace at the school, Kenneth decided to give it to Katie",Kenneth,Katie,Katie,Kenneth,40980,46526,46526,40980,17,school,necklace
13,ABBA,"Then, Samuel and Amanda were thinking about going to the store. Amanda wanted to give a necklace to Samuel","Then, Amanda and Samuel were thinking about going to the store. Samuel wanted to give a necklace to Amanda",Samuel,Amanda,Amanda,Samuel,19784,43069,43069,19784,20,store,necklace
14,BABA,"After Daniel and Steven went to the office, Daniel gave a basketball to Steven","After Steven and Daniel went to the office, Steven gave a basketball to Daniel",Steven,Daniel,Daniel,Steven,23114,10754,10754,23114,14,office,basketball
15,BABA,"Then, Michelle and Erin had a long argument, and afterwards Michelle said to Erin","Then, Erin and Michelle had a long argument, and afterwards Erin said to Michelle",Erin,Michelle,Michelle,Erin,42201,37108,37108,42201,15,station,bone
16,ABBA,"When Jason and Megan got a drink at the hospital, Megan decided to give it to Jason","When Megan and Jason got a drink at the hospital, Jason decided to give it to Megan",Jason,Megan,Megan,Jason,23019,58914,58914,23019,17,hospital,drink
17,BABA,"Then, Kimberly and Tiffany were thinking about going to the restaurant. Kimberly wanted to give a snack to Tiffany","Then, Tiffany and Kimberly were thinking about going to the restaurant. Tiffany wanted to give a snack to Kimberly",Tiffany,Kimberly,Kimberly,Tiffany,78477,102292,102292,78477,20,restaurant,snack
18,ABBA,"After Allison and Joshua went to the restaurant, Joshua gave a bone to Allison","After Joshua and Allison went to the restaurant, Allison gave a bone to Joshua",Allison,Joshua,Joshua,Allison,64426,39555,39555,64426,14,restaurant,bone
19,BABA,"Then, Mark and Jesse had a lot of fun at the garden. Mark gave a drink to Jesse","Then, Jesse and Mark had a lot of fun at the garden. Jesse gave a drink to Mark",Jesse,Mark,Mark,Jesse,46041,4082,4082,46041,19,garden,drink
20,BABA,"After Jacob and Gregory went to the hospital, Jacob gave a ring to Gregory","After Gregory and Jacob went to the hospital, Gregory gave a ring to Jacob",Gregory,Jacob,Jacob,Gregory,39706,21297,21297,39706,14,hospital,ring
21,BABA,"Then, Andrew and Courtney had a long argument, and afterwards Andrew said to Courtney","Then, Courtney and Andrew had a long argument, and afterwards Courtney said to Andrew",Courtney,Andrew,Andrew,Courtney,81161,15970,15970,81161,15,hospital,necklace
22,ABBA,"After Christina and Emily went to the station, Emily gave a ring to Christina","After Emily and Christina went to the station, Christina gave a ring to Emily",Christina,Emily,Emily,Christina,58025,31325,31325,58025,14,station,ring
23,BABA,"Then, Kevin and Courtney went to the restaurant. Kevin gave a kiss to Courtney","Then, Courtney and Kevin went to the restaurant. Courtney gave a kiss to Kevin",Courtney,Kevin,Kevin,Courtney,81161,19934,19934,81161,15,restaurant,kiss
24,ABBA,"Then, Lisa and Kyle were thinking about going to the school. Kyle wanted to give a bone to Lisa","Then, Kyle and Lisa were thinking about going to the school. Lisa wanted to give a bone to Kyle",Lisa,Kyle,Kyle,Lisa,25380,40358,40358,25380,20,school,bone
25,ABBA,"Then, Bradley and William had a long argument, and afterwards William said to Bradley","Then, William and Bradley had a long argument, and afterwards Bradley said to William",Bradley,William,William,Bradley,42915,7130,7130,42915,15,store,necklace
26,BABA,"Then, Andrew and Jessica were working at the hospital. Andrew decided to give a basketball to Jessica","Then, Jessica and Andrew were working at the hospital. Jessica decided to give a basketball to Andrew",Jessica,Andrew,Andrew,Jessica,36171,15970,15970,36171,18,hospital,basketball
27,ABBA,"Then, Adam and Tyler had a lot of fun at the garden. Tyler gave a snack to Adam","Then, Tyler and Adam had a lot of fun at the garden. Adam gave a snack to Tyler",Adam,Tyler,Tyler,Adam,14876,35975,35975,14876,19,garden,snack
28,ABBA,"Then, Daniel and Bradley were thinking about going to the restaurant. Bradley wanted to give a bone to Daniel","Then, Bradley and Daniel were thinking about going to the restaurant. Daniel wanted to give a bone to Bradley",Daniel,Bradley,Bradley,Daniel,10754,42915,42915,10754,20,restaurant,bone
29,BABA,"Then, Paul and Stephen had a long argument, and afterwards Paul said to Stephen","Then, Stephen and Paul had a long argument, and afterwards Stephen said to Paul",Stephen,Paul,Paul,Stephen,18653,6369,6369,18653,15,hospital,drink
30,BABA,"When Allison and Dustin got a computer at the school, Allison decided to give it to Dustin","When Dustin and Allison got a computer at the school, Dustin decided to give it to Allison",Dustin,Allison,Allison,Dustin,116288,64426,64426,116288,17,school,computer
31,BABA,"After Lindsey and Jose went to the station, Lindsey gave a snack to Jose","After Jose and Lindsey went to the station, Jose gave a snack to Lindsey",Jose,Lindsey,Lindsey,Jose,8289,95807,95807,8289,14,station,snack
32,ABBA,"After Megan and Eric went to the office, Eric gave a ring to Megan","After Eric and Megan went to the office, Megan gave a ring to Eric",Megan,Eric,Eric,Megan,58914,19288,19288,58914,14,office,ring
33,BABA,"Then, Elizabeth and Paul were thinking about going to the school. Elizabeth wanted to give a ring to Paul","Then, Paul and Elizabeth were thinking about going to the school. Paul wanted to give a ring to Elizabeth",Paul,Elizabeth,Elizabeth,Paul,6369,15419,15419,6369,20,school,ring
34,ABBA,"After Shannon and Lisa went to the school, Lisa gave a kiss to Shannon","After Lisa and Shannon went to the school, Shannon gave a kiss to Lisa",Shannon,Lisa,Lisa,Shannon,54673,25380,25380,54673,14,school,kiss
35,ABBA,"Then, Amber and David had a lot of fun at the school. David gave a computer to Amber","Then, David and Amber had a lot of fun at the school. Amber gave a computer to David",Amber,David,David,Amber,47235,6046,6046,47235,19,school,computer
36,BABA,"Then, Heather and Sean had a long argument, and afterwards Heather said to Sean","Then, Sean and Heather had a long argument, and afterwards Sean said to Heather",Sean,Heather,Heather,Sean,34723,51593,51593,34723,15,restaurant,snack
37,BABA,"When Jeremy and Stephen got a kiss at the garden, Jeremy decided to give it to Stephen","When Stephen and Jeremy got a kiss at the garden, Stephen decided to give it to Jeremy",Stephen,Jeremy,Jeremy,Stephen,18653,42219,42219,18653,17,garden,kiss
38,BABA,"Then, Richard and Emily had a long argument, and afterwards Richard said to Emily","Then, Emily and Richard had a long argument, and afterwards Emily said to Richard",Emily,Richard,Richard,Emily,31325,9135,9135,31325,15,house,snack
39,ABBA,"Then, Christine and Joshua were thinking about going to the garden. Joshua wanted to give a ring to Christine","Then, Joshua and Christine were thinking about going to the garden. Christine wanted to give a ring to Joshua",Christine,Joshua,Joshua,Christine,45698,39555,39555,45698,20,garden,ring
40,BABA,"After Brittany and Christine went to the school, Brittany gave a basketball to Christine","After Christine and Brittany went to the school, Christine gave a basketball to Brittany",Christine,Brittany,Brittany,Christine,45698,92030,92030,45698,14,school,basketball
41,BABA,"When Charles and Sara got a bone at the house, Charles decided to give it to Sara","When Sara and Charles got a bone at the house, Sara decided to give it to Charles",Sara,Charles,Charles,Sara,34315,8868,8868,34315,17,house,bone
42,ABBA,"When Jacob and Megan got a kiss at the station, Megan decided to give it to Jacob","When Megan and Jacob got a kiss at the station, Jacob decided to give it to Megan",Jacob,Megan,Megan,Jacob,21297,58914,58914,21297,17,station,kiss
43,ABBA,"Then, Lindsey and Dustin had a lot of fun at the garden. Dustin gave a basketball to Lindsey","Then, Dustin and Lindsey had a lot of fun at the garden. Lindsey gave a basketball to Dustin",Lindsey,Dustin,Dustin,Lindsey,95807,116288,116288,95807,19,garden,basketball
44,ABBA,"Then, Jeremy and Sean went to the school. Sean gave a drink to Jeremy","Then, Sean and Jeremy went to the school. Jeremy gave a drink to Sean",Jeremy,Sean,Sean,Jeremy,42219,34723,34723,42219,15,school,drink
45,ABBA,"Then, Jonathan and Amy had a lot of fun at the house. Amy gave a computer to Jonathan","Then, Amy and Jonathan had a lot of fun at the house. Jonathan gave a computer to Amy",Jonathan,Amy,Amy,Jonathan,25571,27161,27161,25571,19,house,computer
46,BABA,"Then, Timothy and Rebecca had a lot of fun at the station. Timothy gave a bone to Rebecca","Then, Rebecca and Timothy had a lot of fun at the station. Rebecca gave a bone to Timothy",Rebecca,Timothy,Timothy,Rebecca,43057,44708,44708,43057,19,station,bone
47,BABA,"When Heather and Christina got a necklace at the store, Heather decided to give it to Christina","When Christina and Heather got a necklace at the store, Christina decided to give it to Heather",Christina,Heather,Heather,Christina,58025,51593,51593,58025,17,store,necklace
48,ABBA,"Then, Joshua and Katherine had a lot of fun at the restaurant. Katherine gave a ring to Joshua","Then, Katherine and Joshua had a lot of fun at the restaurant. Joshua gave a ring to Katherine",Joshua,Katherine,Katherine,Joshua,39555,58448,58448,39555,19,restaurant,ring
49,ABBA,"Then, James and Brian were working at the garden. Brian decided to give a basketball to James","Then, Brian and James were working at the garden. James decided to give a basketball to Brian",James,Brian,Brian,James,6110,19924,19924,6110,18,garden,basketball
50,BABA,"After Tyler and Ryan went to the store, Tyler gave a kiss to Ryan","After Ryan and Tyler went to the store, Ryan gave a kiss to Tyler",Ryan,Tyler,Tyler,Ryan,18894,35975,35975,18894,14,store,kiss
51,BABA,"After Katherine and Kristen went to the office, Katherine gave a computer to Kristen","After Kristen and Katherine went to the office, Kristen gave a computer to Katherine",Kristen,Katherine,Katherine,Kristen,76665,58448,58448,76665,14,office,computer
52,BABA,"When Vanessa and Jose got a computer at the school, Vanessa decided to give it to Jose","When Jose and Vanessa got a computer at the school, Jose decided to give it to Vanessa",Jose,Vanessa,Vanessa,Jose,8289,68439,68439,8289,17,school,computer
53,BABA,"After Jose and Brandon went to the hospital, Jose gave a snack to Brandon","After Brandon and Jose went to the hospital, Brandon gave a snack to Jose",Brandon,Jose,Jose,Brandon,45225,8289,8289,45225,14,hospital,snack
54,ABBA,"Then, Allison and David had a long argument, and afterwards David said to Allison","Then, David and Allison had a long argument, and afterwards Allison said to David",Allison,David,David,Allison,64426,6046,6046,64426,15,station,kiss
55,ABBA,"After Sara and Heather went to the hospital, Heather gave a bone to Sara","After Heather and Sara went to the hospital, Sara gave a bone to Heather",Sara,Heather,Heather,Sara,34315,51593,51593,34315,14,hospital,bone
56,ABBA,"Then, Daniel and Megan had a long argument, and afterwards Megan said to Daniel","Then, Megan and Daniel had a long argument, and afterwards Daniel said to Megan",Daniel,Megan,Megan,Daniel,10754,58914,58914,10754,15,hospital,bone
57,BABA,"Then, Shannon and Dustin were working at the store. Shannon decided to give a computer to Dustin","Then, Dustin and Shannon were working at the store. Dustin decided to give a computer to Shannon",Dustin,Shannon,Shannon,Dustin,116288,54673,54673,116288,18,store,computer
58,BABA,"Then, Jason and Joseph had a long argument, and afterwards Jason said to Joseph","Then, Joseph and Jason had a long argument, and afterwards Joseph said to Jason",Joseph,Jason,Jason,Joseph,10954,23019,23019,10954,15,garden,kiss
59,BABA,"Then, Sarah and Paul went to the hospital. Sarah gave a basketball to Paul","Then, Paul and Sarah went to the hospital. Paul gave a basketball to Sarah",Paul,Sarah,Sarah,Paul,6369,19400,19400,6369,15,hospital,basketball
60,BABA,"Then, Anthony and Brittany went to the hospital. Anthony gave a snack to Brittany","Then, Brittany and Anthony went to the hospital. Brittany gave a snack to Anthony",Brittany,Anthony,Anthony,Brittany,92030,21504,21504,92030,15,hospital,snack
61,ABBA,"When Joshua and Robert got a computer at the house, Robert decided to give it to Joshua","When Robert and Joshua got a computer at the house, Joshua decided to give it to Robert",Joshua,Robert,Robert,Joshua,39555,7866,7866,39555,17,house,computer
62,ABBA,"Then, Michael and Amber had a lot of fun at the restaurant. Amber gave a computer to Michael","Then, Amber and Michael had a lot of fun at the restaurant. Michael gave a computer to Amber",Michael,Amber,Amber,Michael,7939,47235,47235,7939,19,restaurant,computer
63,ABBA,"Then, Alicia and Aaron went to the house. Aaron gave a ring to Alicia","Then, Aaron and Alicia went to the house. Alicia gave a ring to Aaron",Alicia,Aaron,Aaron,Alicia,77804,32057,32057,77804,15,house,ring
64,ABBA,"After David and Katie went to the store, Katie gave a necklace to David","After Katie and David went to the store, David gave a necklace to Katie",David,Katie,Katie,David,6046,46526,46526,6046,14,store,necklace
65,BABA,"Then, Justin and Paul were thinking about going to the restaurant. Justin wanted to give a ring to Paul","Then, Paul and Justin were thinking about going to the restaurant. Paul wanted to give a ring to Justin",Paul,Justin,Justin,Paul,6369,27031,27031,6369,20,restaurant,ring
