feature_id,status,explanation,positive_logits_hint,title,url,api_url,error
1041,ok,technical terms and concepts related to programming or data structures,"▁Efq, ▁ſeveral, ▁Monfieur, ▁Majefty, ▁myſelf",gemma-2-2b · 12-gemmascope-res-16k · 1041,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/1041,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/1041,
7541,ok,phrases related to technical descriptions and comparisons in software development contexts,"GraphicsUnit, ⓧ, ftagPool, Portail, ▁تضيفلها",gemma-2-2b · 12-gemmascope-res-16k · 7541,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/7541,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/7541,
13962,ok,phrases involving the transfer or sharing of ownership or information,"▁handing, ▁}}""></, ▁handover, ▁kepada, ▁gifts",gemma-2-2b · 12-gemmascope-res-16k · 13962,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/13962,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/13962,
12197,ok,"references to keys and key points, especially in contexts involving coding or interaction","▁keys, ▁Keys, ▁key, ▁KEY, ▁Key",gemma-2-2b · 12-gemmascope-res-16k · 12197,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/12197,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/12197,
2268,ok,"references to cell phone etiquette, usage, and related social norms","▁iPad, ▁LCD, ▁jack, ▁téléphonique, usercontent",gemma-2-2b · 12-gemmascope-res-16k · 2268,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/2268,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/2268,
7507,ok,numerical data and references related to statistics and measurements,"▁betweenstory, Autoritní, sizeCache, ▁disambiguazione, ArrowToggle",gemma-2-2b · 12-gemmascope-res-16k · 7507,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/7507,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/7507,
11361,ok,phrases related to espionage and covert operations,"PROLOG, StructEnd, colhead, ▁tasked, ▁task",gemma-2-2b · 12-gemmascope-res-16k · 11361,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/11361,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/11361,
9265,ok,references to socio-economic issues and health disparities,"▁people, ▁linkovi, ▁young, ▁individuals, ▁snippetHide",gemma-2-2b · 12-gemmascope-res-16k · 9265,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/9265,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/9265,
8215,ok,financial terms related to stock performance and expected returns,"▁незавершена, ▁الرياضيه, ſelves, ▁myſelf, ▁pleaſure",gemma-2-2b · 12-gemmascope-res-16k · 8215,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/8215,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/8215,
5343,ok,various mentions and contexts related to gifts,"▁gifts, ▁gift, GIFT, ▁Gift, ▁Gifts",gemma-2-2b · 12-gemmascope-res-16k · 5343,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/5343,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/5343,
8782,ok,"conversations or interactions occurring in specific locations, often related to either humor or tension","XmlAccessType, parsedMessage, WithIOException, ▁resourceCulture, DeleteBehavior",gemma-2-2b · 12-gemmascope-res-16k · 8782,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/8782,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/8782,
14617,ok,"references to purchasing supplies or tools, particularly in a retail context","▁kios, ▁kiosk, ▁downtown, ▁cashier, ▁clerks",gemma-2-2b · 12-gemmascope-res-16k · 14617,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/14617,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/14617,
3268,ok,events and activities related to eating and dining experiences,"▁meals, ▁food, ▁meal, food, ▁foods",gemma-2-2b · 12-gemmascope-res-16k · 3268,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/3268,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/3268,
9547,ok,references to documentation or licensing information related to software,"▁documents, ▁files, ▁downloaded, ▁file, ▁copies",gemma-2-2b · 12-gemmascope-res-16k · 9547,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/9547,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/9547,
6810,ok,terms related to software licensing and legal disclaimers,"<bos>, <eos>, ро, MathML, нен",gemma-2-2b · 12-gemmascope-res-16k · 6810,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/6810,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/6810,
8929,ok,legal terminology and expressions of formal communication,"évaluateur, ▁beginnetje, ▁Meksiku, Tembelea, ▁wireType",gemma-2-2b · 12-gemmascope-res-16k · 8929,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/8929,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/8929,
4555,ok,terms related to production and economic viability in the context of natural gas and LPG,"RectangleBorder, حوالہ, ⓧ, DockStyle, ▁ModelRenderer",gemma-2-2b · 12-gemmascope-res-16k · 4555,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/4555,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/4555,
4628,ok,phrases associated with deception and misinformation,"▁us, ▁everyone, ▁readers, ▁customers, ▁audiences",gemma-2-2b · 12-gemmascope-res-16k · 4628,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/4628,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/4628,
13354,ok,references to food and beverages,"▁drinks, ▁drink, ▁beverages, ▁beverage, ▁cocktails",gemma-2-2b · 12-gemmascope-res-16k · 13354,https://www.neuronpedia.org/gemma-2-2b/12-gemmascope-res-16k/13354,https://www.neuronpedia.org/api/feature/gemma-2-2b/12-gemmascope-res-16k/13354,
